gender,year,major,watch,trust,marriage,abortion,immigration,emperor,hatespeech,liberal_emotional_text,liberal_neutral_text,conservative_emotional_text,conservative_neutral_text,con
2,2,2,2,3,2,1,4,3,4,2,4,3,2,14
2,2,2,1,2,2,2,3,3,4,4,4,2,2,14
1,2,2,1,3,3,2,2,2,3,3,2,4,2,12
2,4,2,2,2,2,2,3,3,3,4,2,4,2,13
1,3,2,1,2,2,2,2,4,4,2,4,2,2,14
1,1,2,2,4,2,2,5,3,2,4,4,2,4,14
2,2,2,5,1,1,2,4,4,4,2,2,3,3,15
1,3,2,1,4,3,3,4,2,2,4,2,3,2,14
2,3,2,3,3,2,1,4,2,1,2,2,2,2,10
2,1,2,2,2,1,3,2,3,3,2,2,3,3,12
2,3,2,2,3,2,3,4,4,4,2,3,4,2,17
2,1,1,1,3,2,2,2,1,1,2,3,2,1,8
1,2,1,1,3,1,2,2,1,2,4,2,4,1,8
2,1,1,2,2,2,1,4,2,4,4,2,2,2,13
1,3,1,2,4,2,3,4,3,2,2,4,2,2,14
2,3,1,2,4,3,2,4,4,2,3,2,4,3,15
